SWIS_SBL_ID,PROP_CLASS,zcta,gfa,E_fleet_ev
50300101000000030050220000,457,14850,1836.0,0.014
50300101000000030050210000,465,14850,5616.0,0.042
50300100500000030190020000,464,14850,5246.0,0.039
50300100500000030190010000,465,14850,8280.0,0.062
50300100500000030180010000,464,14850,21987.0,0.164
50300101000000050050000000,553,14850,1994.0,0.015
50300101000000050010000000,483,14850,1490.0,0.011
50300101000000040060020000,464,14850,2324.0,0.017
50300101000000040060010000,831,14850,9278.0,0.069
50300101000000040060010099,837,14850,0.0,0.0
50300101100000020050000000,695,14850,432.0,0.003
50300100300000010010000000,633,14850,364128.0,2.719
50220002300000010160000000,534,14850,3758.0,0.028
50220001500000010200020000,557,14850,1458.0,0.011
50220001400000010140000000,695,14850,0.0,0.0
50220000800000010120150000,472,14850,1568.0,0.012
50220001000000010050000000,614,14850,24656.0,0.184
50220001000000010160000000,662,14850,8922.0,0.067
50220001000000010130000000,485,14850,4290.0,0.032
50220000700000010920210000,440,14850,4392.0,0.033
50220000700000010481220000,475,14850,2000.0,0.015
50220001000000010820020000,449,14850,10250.0,0.077
50220001000000010820010000,651,14850,8440.0,0.063
50220001000000010780000000,590,14850,0.0,0.0
50220001000000010270000000,433,14850,2048.0,0.015
50220001000000010230000000,652,14850,4753.0,0.035
50220001000000010450000000,620,14850,9104.0,0.068
50220000600000010190000000,695,14850,0.0,0.0
50220000600000010212220099,837,14850,0.0,0.0
50220001300000010012220000,837,14850,540.0,0.004
50220000300000010060000000,833,14850,0.0,0.0
50220000200000010170320000,614,14850,10700.0,0.08
50220000200000010070000000,534,14850,2584.0,0.019
50220000200000010330000000,474,14850,0.0,0.0
50220000200000010350110000,442,14850,28794.0,0.215
50220000200000010370000000,484,14850,3696.0,0.028
50220000100000010250010000,710,14850,73406.0,0.548
50220000100000010240010000,871,14850,0.0,0.0
50220000100000010030320000,484,14850,3276.0,0.024
50248907500000010460000000,695,14850,0.0,0.0
50248907500000010430820000,695,14850,0.0,0.0
50248906600000010180000000,883,14850,19690.0,0.147
50248906600000010170030000,613,14850,0.0,0.0
50248906600000010170040000,613,14850,0.0,0.0
50248906600000010220000000,883,14850,3200.0,0.024
50248906600000010090010000,613,14850,0.0,0.0
50248906600000010070020000,613,14850,0.0,0.0
50248906600000010040010000,590,14850,0.0,0.0
50248906700000010760000000,613,14850,0.0,0.0
50248905700000010320000000,613,14850,0.0,0.0
50248905700000010060010000,613,14850,1712.0,0.013
50248906700000010070030000,613,14850,0.0,0.0
50248906700000010070020000,613,14850,5920.0,0.044
50248906700000010730000000,613,14850,12800.0,0.096
50248906700000010710080000,620,14850,4554.0,0.034
50248906700000010670030000,464,14850,4032.0,0.03
50248906700000010670020000,720,14850,2753.0,0.021
50248906700000010630150000,720,14850,0.0,0.0
50248906700000010230010000,613,14850,0.0,0.0
50248906800000010050000000,835,14850,960.0,0.007
50248906800000010130010000,695,14850,0.0,0.0
50248907300000020040020000,714,14850,24049.0,0.18
50248907200000040050000000,620,14850,1940.0,0.014
50248907100000010110030000,620,14850,4476.0,0.033
50248907100000010120000000,464,14850,2866.0,0.021
50248907100000010130000000,620,14850,14280.0,0.107
50248905700000010010000000,650,14850,0.0,0.0
