dataset,port_type,day_type,hour,energy_share
palo_alto_public,L1,all,22,0.0117
palo_alto_public,L1,all,23,0.0071
palo_alto_public,L2,all,0,0.0122
palo_alto_public,L2,all,1,0.009
palo_alto_public,L2,all,2,0.0065
palo_alto_public,L2,all,3,0.0048
palo_alto_public,L2,all,4,0.0041
palo_alto_public,L2,all,5,0.0064
palo_alto_public,L2,all,6,0.0158
palo_alto_public,L2,all,7,0.0291
palo_alto_public,L2,all,8,0.0466
palo_alto_public,L2,all,9,0.0634
palo_alto_public,L2,all,10,0.0735
palo_alto_public,L2,all,11,0.0768
palo_alto_public,L2,all,12,0.0787
palo_alto_public,L2,all,13,0.0738
palo_alto_public,L2,all,14,0.0698
palo_alto_public,L2,all,15,0.0658
palo_alto_public,L2,all,16,0.0617
palo_alto_public,L2,all,17,0.0582
palo_alto_public,L2,all,18,0.061
palo_alto_public,L2,all,19,0.0594
palo_alto_public,L2,all,20,0.0483
palo_alto_public,L2,all,21,0.0344
palo_alto_public,L2,all,22,0.0238
palo_alto_public,L2,all,23,0.0169
workplace_midwest,L2,all,0,0.0019
workplace_midwest,L2,all,1,0.0019
workplace_midwest,L2,all,2,0.0016
workplace_midwest,L2,all,3,0.001
workplace_midwest,L2,all,4,0.0017
workplace_midwest,L2,all,5,0.0021
workplace_midwest,L2,all,6,0.0017
workplace_midwest,L2,all,7,0.0013
workplace_midwest,L2,all,8,0.0016
workplace_midwest,L2,all,9,0.0262
workplace_midwest,L2,all,10,0.0533
workplace_midwest,L2,all,11,0.1025
workplace_midwest,L2,all,12,0.1396
workplace_midwest,L2,all,13,0.1271
workplace_midwest,L2,all,14,0.0934
workplace_midwest,L2,all,15,0.0517
workplace_midwest,L2,all,16,0.0616
workplace_midwest,L2,all,17,0.1052
workplace_midwest,L2,all,18,0.102
workplace_midwest,L2,all,19,0.0672
workplace_midwest,L2,all,20,0.0354
workplace_midwest,L2,all,21,0.0136
workplace_midwest,L2,all,22,0.0041
workplace_midwest,L2,all,23,0.0021
