year,date,geography,access,level,stations,ports,count_basis,source,evidence
2014,2014-12-31,New York State,all,all,503.0,1072.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,all,all,603.0,1281.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,all,all,862.0,1677.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,all,all,954.0,1952.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,all,all,1157.0,2562.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,all,all,1655.0,4531.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,all,all,2036.0,6134.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,private,DCFC,0.0,0.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,private,DCFC,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,private,DCFC,1.0,1.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,private,DCFC,3.0,19.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,private,L1,7.0,14.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,private,L1,5.0,11.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,private,L1,6.0,15.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,private,L1,6.0,15.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,private,L1,5.0,13.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,private,L1,5.0,12.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,private,L1,7.0,15.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,private,L2,78.0,120.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,private,L2,77.0,126.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,private,L2,107.0,145.0,stations|ports,NLR API v0/historical-date station records (status E),B
2017,2017-12-31,New York State,private,L2,82.0,106.0,stations|ports,NLR API v0/historical-date station records (status E),B
2018,2018-12-31,New York State,private,L2,91.0,143.0,stations|ports,NLR API v0/historical-date station records (status E),B
2019,2019-12-31,New York State,private,L2,96.0,241.0,stations|ports,NLR API v0/historical-date station records (status E),B
2020,2020-12-31,New York State,private,L2,152.0,552.0,stations|ports,NLR API v0/historical-date station records (status E),B
2014,2014-12-31,New York State,private,all,82.0,134.0,stations|ports,NLR API v0/historical-date station records (status E),B
2015,2015-12-31,New York State,private,all,81.0,137.0,stations|ports,NLR API v0/historical-date station records (status E),B
2016,2016-12-31,New York State,private,all,112.0,160.0,stations|ports,NLR API v0/historical-date station records (status E),B
