dataset,port_type,day_type,hour,share
workplace_midwest,L2,weekday,8,0.0162
workplace_midwest,L2,weekday,9,0.0445
workplace_midwest,L2,weekday,10,0.0859
workplace_midwest,L2,weekday,11,0.1503
workplace_midwest,L2,weekday,12,0.1429
workplace_midwest,L2,weekday,13,0.0862
workplace_midwest,L2,weekday,14,0.042
workplace_midwest,L2,weekday,15,0.0529
workplace_midwest,L2,weekday,16,0.122
workplace_midwest,L2,weekday,17,0.132
workplace_midwest,L2,weekday,18,0.0675
workplace_midwest,L2,weekday,19,0.0339
workplace_midwest,L2,weekday,20,0.0162
workplace_midwest,L2,weekday,21,0.0037
workplace_midwest,L2,weekday,22,0.0019
workplace_midwest,L2,weekday,23,0.0003
workplace_midwest,L2,weekend,0,0.0
workplace_midwest,L2,weekend,1,0.0241
workplace_midwest,L2,weekend,2,0.0
workplace_midwest,L2,weekend,3,0.0241
workplace_midwest,L2,weekend,4,0.0361
workplace_midwest,L2,weekend,5,0.0241
workplace_midwest,L2,weekend,6,0.012
workplace_midwest,L2,weekend,7,0.012
workplace_midwest,L2,weekend,8,0.0
workplace_midwest,L2,weekend,9,0.1446
workplace_midwest,L2,weekend,10,0.1807
workplace_midwest,L2,weekend,11,0.0602
workplace_midwest,L2,weekend,12,0.1084
workplace_midwest,L2,weekend,13,0.1325
workplace_midwest,L2,weekend,14,0.0361
workplace_midwest,L2,weekend,15,0.0964
workplace_midwest,L2,weekend,16,0.0241
workplace_midwest,L2,weekend,17,0.0361
workplace_midwest,L2,weekend,18,0.012
workplace_midwest,L2,weekend,19,0.0
workplace_midwest,L2,weekend,20,0.012
workplace_midwest,L2,weekend,21,0.012
workplace_midwest,L2,weekend,22,0.0
workplace_midwest,L2,weekend,23,0.012
boulder_public,L2,all,0,0.0019
boulder_public,L2,all,1,0.0014
boulder_public,L2,all,2,0.0008
boulder_public,L2,all,3,0.0006
boulder_public,L2,all,4,0.001
boulder_public,L2,all,5,0.0103
boulder_public,L2,all,6,0.0319
boulder_public,L2,all,7,0.0499
boulder_public,L2,all,8,0.0872
boulder_public,L2,all,9,0.074
boulder_public,L2,all,10,0.0721
boulder_public,L2,all,11,0.0788
boulder_public,L2,all,12,0.085
boulder_public,L2,all,13,0.0783
boulder_public,L2,all,14,0.0655
boulder_public,L2,all,15,0.0673
boulder_public,L2,all,16,0.0717
boulder_public,L2,all,17,0.081
boulder_public,L2,all,18,0.0659
boulder_public,L2,all,19,0.0403
boulder_public,L2,all,20,0.0184
boulder_public,L2,all,21,0.0089
boulder_public,L2,all,22,0.0048
boulder_public,L2,all,23,0.003
dundee_public,DCFC,all,0,0.0212
dundee_public,DCFC,all,1,0.0238
dundee_public,DCFC,all,2,0.0183
dundee_public,DCFC,all,3,0.0129
dundee_public,DCFC,all,4,0.0127
dundee_public,DCFC,all,5,0.0118
dundee_public,DCFC,all,6,0.0142
dundee_public,DCFC,all,7,0.025
dundee_public,DCFC,all,8,0.037
dundee_public,DCFC,all,9,0.0528
dundee_public,DCFC,all,10,0.06
dundee_public,DCFC,all,11,0.0659
dundee_public,DCFC,all,12,0.0689
dundee_public,DCFC,all,13,0.0706
dundee_public,DCFC,all,14,0.073
dundee_public,DCFC,all,15,0.0685
dundee_public,DCFC,all,16,0.0634
dundee_public,DCFC,all,17,0.0559
dundee_public,DCFC,all,18,0.0496
dundee_public,DCFC,all,19,0.0487
dundee_public,DCFC,all,20,0.0484
dundee_public,DCFC,all,21,0.0419
dundee_public,DCFC,all,22,0.0303
dundee_public,DCFC,all,23,0.0252
dundee_public,L2,all,0,0.0089
dundee_public,L2,all,1,0.0092
dundee_public,L2,all,2,0.0086
dundee_public,L2,all,3,0.0074
dundee_public,L2,all,4,0.0083
dundee_public,L2,all,5,0.0064
dundee_public,L2,all,6,0.0108
dundee_public,L2,all,7,0.0267
dundee_public,L2,all,8,0.0565
dundee_public,L2,all,9,0.0787
dundee_public,L2,all,10,0.079
dundee_public,L2,all,11,0.0913
dundee_public,L2,all,12,0.0884
dundee_public,L2,all,13,0.09
dundee_public,L2,all,14,0.0763
dundee_public,L2,all,15,0.0661
dundee_public,L2,all,16,0.0632
dundee_public,L2,all,17,0.0567
dundee_public,L2,all,18,0.0498
dundee_public,L2,all,19,0.0414
dundee_public,L2,all,20,0.0342
dundee_public,L2,all,21,0.0198
dundee_public,L2,all,22,0.0127
dundee_public,L2,all,23,0.0093
dundee_public,other,all,0,0.0194
dundee_public,other,all,1,0.02
dundee_public,other,all,2,0.012
