site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
workplace_unlisted_parcel,parcel_50070011800000010020020000,453,42.431,-76.514,,,6275.044,5.809,
workplace_unlisted_parcel,parcel_50070009600000020010090000,712,42.434,-76.516,,,2069.159,1.915,
workplace_unlisted_parcel,parcel_50070007800000030020000000,449,42.436,-76.515,,,961.349,0.89,
workplace_unlisted_parcel,parcel_50070010200000010020030000,452,42.433,-76.509,,,2718.281,2.516,
workplace_unlisted_parcel,parcel_50070009500000010010220000,454,42.435,-76.51,,,5739.557,5.313,
workplace_unlisted_parcel,parcel_50070010200000010020010000,452,42.432,-76.51,,,5224.54,4.836,
workplace_unlisted_parcel,parcel_50070009500000010010010000,431,42.435,-76.509,,,1124.224,1.041,
workplace_unlisted_parcel,parcel_50070009400000010220000000,415,42.434,-76.507,,,1836.248,1.7,
workplace_unlisted_parcel,parcel_50070007900000060080020000,452,42.436,-76.506,,,1818.016,1.683,
workplace_unlisted_parcel,parcel_50070007900000100010000000,415,42.436,-76.509,,,1106.039,1.024,
workplace_unlisted_parcel,parcel_50070007200000070100000000,455,42.438,-76.509,,,1498.374,1.387,
workplace_unlisted_parcel,parcel_50070007300000060010000000,444,42.439,-76.512,,,1038.147,0.961,
workplace_unlisted_parcel,parcel_50070007800000010010020000,710,42.437,-76.515,,,2323.334,2.151,
workplace_unlisted_parcel,parcel_50070007800000010010010000,710,42.437,-76.514,,,1077.828,0.998,
workplace_unlisted_parcel,parcel_50070005700000020010000000,612,42.44,-76.518,,,1223.497,1.133,
workplace_unlisted_parcel,parcel_50070007300000010110000000,464,42.44,-76.514,,,1429.643,1.323,
workplace_unlisted_parcel,parcel_50070004200000020050000000,710,42.445,-76.516,,,1129.913,1.046,
workplace_unlisted_parcel,parcel_50070004300000020050220000,454,42.445,-76.51,,,1632.013,1.511,
workplace_unlisted_parcel,parcel_50070005200000030060000000,456,42.444,-76.509,,,1159.802,1.074,
workplace_unlisted_parcel,parcel_50070007100000020050000000,652,42.44,-76.503,,,3017.266,2.793,
workplace_unlisted_parcel,parcel_50070006000000020080000000,612,42.442,-76.502,,,3215.905,2.977,
workplace_unlisted_parcel,parcel_50070007000000010030000000,464,42.44,-76.499,,,1271.431,1.177,
workplace_unlisted_parcel,parcel_50070006100000050110000000,463,42.441,-76.498,,,4403.125,4.076,
workplace_unlisted_parcel,parcel_50070006100000050010000000,452,42.441,-76.499,,,5478.901,5.072,
workplace_unlisted_parcel,parcel_50070006100000050100000000,414,42.441,-76.497,,,8672.844,8.028,
workplace_unlisted_parcel,parcel_50070006100000020040000000,652,42.442,-76.497,,,3363.346,3.113,
workplace_unlisted_parcel,parcel_50070006100000030140000000,464,42.442,-76.497,,,1380.45,1.278,
workplace_unlisted_parcel,parcel_50070006100000020010000000,620,42.442,-76.499,,,1069.342,0.99,
workplace_unlisted_parcel,parcel_50070004900000040050000000,620,42.443,-76.496,,,1077.595,0.997,
workplace_unlisted_parcel,parcel_50070002800000020010000000,612,42.451,-76.496,,,1737.534,1.608,
workplace_unlisted_parcel,parcel_50070002600000020080000000,482,42.45,-76.501,,,1263.644,1.17,
workplace_unlisted_parcel,parcel_50070001600000010030000000,651,42.453,-76.504,,,4653.848,4.308,
workplace_unlisted_parcel,parcel_50070001700000010010020000,465,42.452,-76.506,,,2820.538,2.611,
workplace_unlisted_parcel,parcel_50070002500000040010000000,650,42.449,-76.505,,,1272.737,1.178,
workplace_unlisted_parcel,parcel_50070003600000010040000000,456,42.448,-76.507,,,1101.189,1.019,
workplace_unlisted_parcel,parcel_50070003600000010030510000,465,42.447,-76.509,,,2986.584,2.765,
workplace_unlisted_parcel,parcel_50070002300000010010000000,455,42.451,-76.509,,,1184.375,1.096,
workplace_unlisted_parcel,parcel_50070000100000010150000000,650,42.464,-76.5,,,932.579,0.863,
workplace_unlisted_parcel,parcel_50070000500000010010000000,612,42.455,-76.498,,,11907.68,11.022,
workplace_unlisted_parcel,parcel_50070000900000060100000000,613,42.454,-76.482,,,1020.614,0.945,
workplace_unlisted_parcel,parcel_50070003000000010010050000,613,42.449,-76.479,,,6995.041,6.475,
workplace_unlisted_parcel,parcel_50070003000000010010020000,613,42.454,-76.478,,,198306.512,183.565,
workplace_unlisted_parcel,parcel_50070003100000010010060000,613,42.447,-76.484,,,1732.965,1.604,
workplace_unlisted_parcel,parcel_50070003100000010010010000,613,42.446,-76.482,,,15793.503,14.619,
workplace_unlisted_parcel,parcel_50070003100000010010080000,613,42.447,-76.479,,,6133.198,5.677,
workplace_unlisted_parcel,parcel_50070003100000010010020000,613,42.444,-76.478,,,190595.297,176.427,
workplace_unlisted_parcel,parcel_50070006500000030010010000,613,42.443,-76.476,,,5402.103,5.001,
workplace_unlisted_parcel,parcel_50070006500000030030000000,613,42.442,-76.475,,,2385.677,2.208,
